@relation WA_Fn-UseC_-Telco-Customer-Churn-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.instance.RemovePercentage-P80.0-V-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1

@attribute gender {Female,Male}
@attribute SeniorCitizen numeric
@attribute Partner {Yes,No}
@attribute Dependents {No,Yes}
@attribute tenure numeric
@attribute PhoneService {No,Yes}
@attribute MultipleLines {'No phone service',No,Yes}
@attribute InternetService {DSL,'Fiber optic',No}
@attribute OnlineSecurity {No,Yes,'No internet service'}
@attribute OnlineBackup {Yes,No,'No internet service'}
@attribute DeviceProtection {No,Yes,'No internet service'}
@attribute TechSupport {No,Yes,'No internet service'}
@attribute StreamingTV {No,Yes,'No internet service'}
@attribute StreamingMovies {No,Yes,'No internet service'}
@attribute Contract {Month-to-month,'One year','Two year'}  
@attribute PaperlessBilling {Yes,No}
@attribute PaymentMethod {'Electronic check','Mailed check','Bank transfer (automatic)','Credit card (automatic)'}
@attribute MonthlyCharges numeric
@attribute TotalCharges numeric
@attribute Churn {No,Yes}

@data
Female,0,Yes,Yes,72,Yes,Yes,'Fiber optic',Yes,Yes,No,Yes,Yes,No,'Two year',No,'Bank transfer (automatic)',99.9,7251.7,No
Male,0,No,No,5,Yes,No,'Fiber optic',No,No,No,No,No,No,Month-to-month,Yes,'Electronic check',69.7,316.9,Yes
Female,0,No,No,46,Yes,No,'Fiber optic',No,No,Yes,No,No,No,Month-to-month,Yes,'Credit card (automatic)',74.8,3548.3,No
Male,0,No,No,34,Yes,Yes,'Fiber optic',No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,'Electronic check',106.35,3549.25,Yes
Female,0,No,No,11,Yes,Yes,'Fiber optic',No,No,Yes,No,Yes,Yes,Month-to-month,Yes,'Bank transfer (automatic)',97.85,1105.4,Yes
Male,0,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,'One year',No,'Mailed check',49.55,475.7,No
Female,0,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,'Two year',Yes,'Credit card (automatic)',69.2,4872.35,No
Female,0,Yes,Yes,17,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','One year',No,'Mailed check',20.75,418.25,No
Female,0,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,'Two year',Yes,'Credit card (automatic)',79.85,4861.45,No
Female,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,'Electronic check',76.2,981.45,No
Female,0,No,No,49,Yes,Yes,'Fiber optic',No,No,No,No,No,Yes,Month-to-month,Yes,'Electronic check',84.5,3906.7,No
Male,0,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,'Mailed check',49.25,97,No
Female,0,No,No,2,Yes,No,'Fiber optic',No,No,No,No,Yes,No,Month-to-month,Yes,'Electronic check',80.65,144.15,Yes
Male,0,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,'Two year',Yes,'Credit card (automatic)',79.75,4217.8,No
Female,0,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,'Two year',Yes,'Credit card (automatic)',64.15,4254.1,No
Female,1,No,No,43,Yes,Yes,'Fiber optic',No,Yes,No,No,Yes,No,Month-to-month,Yes,'Electronic check',90.25,3838.75,No
Female,0,No,No,15,Yes,No,'Fiber optic',Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,'Credit card (automatic)',99.1,1426.4,Yes
Female,1,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,'Credit card (automatic)',69.5,1752.65,No
Female,1,Yes,No,8,Yes,Yes,'Fiber optic',No,Yes,No,No,No,No,Month-to-month,Yes,'Credit card (automatic)',80.65,633.3,Yes
Female,1,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,'One year',Yes,'Credit card (automatic)',74.85,4456.35,No
Male,1,No,No,18,Yes,Yes,'Fiber optic',No,No,No,No,Yes,Yes,Month-to-month,Yes,'Electronic check',95.45,1752.55,Yes
Female,0,Yes,Yes,63,Yes,Yes,'Fiber optic',Yes,No,No,No,Yes,Yes,'One year',Yes,'Credit card (automatic)',99.65,6311.2,No
Male,1,Yes,Yes,66,Yes,Yes,'Fiber optic',No,Yes,Yes,Yes,Yes,Yes,'One year',Yes,'Electronic check',108.45,7076.35,No
Female,0,Yes,Yes,34,Yes,Yes,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Credit card (automatic)',24.95,894.3,No
Female,0,No,No,72,Yes,Yes,'Fiber optic',No,No,Yes,Yes,Yes,Yes,'Two year',Yes,'Credit card (automatic)',107.5,7853.7,No
Female,0,Yes,No,47,Yes,Yes,'Fiber optic',No,No,Yes,No,Yes,Yes,Month-to-month,Yes,'Electronic check',100.5,4707.1,No
Male,0,No,No,60,Yes,Yes,'Fiber optic',No,Yes,No,No,Yes,No,Month-to-month,Yes,'Bank transfer (automatic)',89.9,5450.7,No
Male,0,Yes,No,72,No,'No phone service',DSL,Yes,Yes,Yes,No,No,No,'Two year',No,'Bank transfer (automatic)',42.1,2962,No
Female,0,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,'One year',Yes,'Credit card (automatic)',54.4,957.1,No
Female,0,No,No,9,Yes,Yes,'Fiber optic',No,No,No,No,Yes,Yes,Month-to-month,No,'Electronic check',94.4,857.25,Yes
Female,0,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,'Electronic check',75.3,244.1,No
Male,0,Yes,No,47,Yes,Yes,'Fiber optic',No,Yes,No,No,No,No,'One year',Yes,'Electronic check',78.9,3650.35,No
Female,0,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,'Two year',No,'Mailed check',79.2,2497.2,No
Female,0,Yes,Yes,50,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Bank transfer (automatic)',20.15,930.9,No
Male,0,No,No,10,Yes,No,'Fiber optic',Yes,No,Yes,No,No,No,Month-to-month,Yes,'Mailed check',79.85,887.35,No
Male,0,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,'Mailed check',49.05,49.05,No
Female,0,Yes,Yes,52,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','One year',Yes,'Electronic check',20.4,1090.65,No
Male,1,Yes,Yes,64,Yes,Yes,'Fiber optic',Yes,No,Yes,Yes,Yes,Yes,'Two year',Yes,'Bank transfer (automatic)',111.6,7099,No
Male,0,Yes,Yes,62,Yes,Yes,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',Yes,'Bank transfer (automatic)',24.25,1424.6,No
Female,0,No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,'Bank transfer (automatic)',64.5,177.4,No
Female,1,No,No,56,Yes,Yes,'Fiber optic',Yes,Yes,Yes,No,Yes,Yes,'One year',No,'Electronic check',110.5,6139.5,No
Female,0,No,No,46,Yes,No,DSL,No,No,No,No,No,Yes,'One year',No,'Credit card (automatic)',55.65,2688.85,No
Female,0,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,'Mailed check',54.65,482.25,No
Male,1,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,'Electronic check',74.75,2111.3,No
Female,0,Yes,Yes,45,Yes,Yes,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','One year',Yes,'Credit card (automatic)',25.9,1216.6,No
Female,0,No,Yes,1,Yes,No,'Fiber optic',No,No,No,No,Yes,No,Month-to-month,Yes,'Electronic check',79.35,79.35,Yes
Female,0,Yes,Yes,11,No,'No phone service',DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,'Electronic check',50.55,565.35,No
Female,0,Yes,No,7,Yes,No,'Fiber optic',No,No,Yes,No,No,No,Month-to-month,Yes,'Bank transfer (automatic)',75.15,496.9,Yes
Female,0,No,No,42,Yes,No,'Fiber optic',No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,'Bank transfer (automatic)',103.8,4327.5,No
Female,0,Yes,No,49,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',Yes,'Bank transfer (automatic)',20.15,973.35,No
Male,0,No,No,9,Yes,Yes,'Fiber optic',No,Yes,No,No,Yes,Yes,Month-to-month,Yes,'Credit card (automatic)',99.3,918.75,No
Female,0,Yes,No,35,Yes,No,DSL,Yes,No,No,No,Yes,No,'One year',Yes,'Bank transfer (automatic)',62.15,2215.45,No
Female,0,Yes,Yes,48,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Bank transfer (automatic)',20.65,1057,No
Female,0,Yes,Yes,46,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',Yes,'Mailed check',19.95,927.1,No
Male,0,Yes,No,29,No,'No phone service',DSL,No,No,No,No,Yes,No,Month-to-month,No,'Mailed check',33.75,1009.25,No
Male,0,Yes,Yes,30,Yes,No,'Fiber optic',No,Yes,Yes,No,No,No,Month-to-month,No,'Bank transfer (automatic)',82.05,2570.2,No
Male,1,No,No,1,Yes,No,'Fiber optic',No,No,No,Yes,No,No,Month-to-month,No,'Electronic check',74.7,74.7,No
Male,0,Yes,Yes,66,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,'Two year',Yes,'Mailed check',84,5714.25,No
Female,0,No,No,65,Yes,Yes,'Fiber optic',Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,'Credit card (automatic)',111.05,7107,No
Male,0,No,No,72,Yes,Yes,'Fiber optic',No,Yes,Yes,No,Yes,Yes,'Two year',Yes,'Bank transfer (automatic)',100.9,7459.05,No
Female,0,No,No,12,Yes,Yes,'Fiber optic',Yes,No,No,No,No,No,Month-to-month,Yes,'Electronic check',78.95,927.35,Yes
Male,0,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,'One year',Yes,'Credit card (automatic)',66.85,4748.7,No
Male,0,No,No,5,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,No,'Mailed check',21.05,113.85,Yes
Male,0,No,No,52,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Bank transfer (automatic)',21,1107.2,No
Female,1,Yes,No,25,Yes,No,'Fiber optic',No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,'Electronic check',98.5,2514.5,Yes
Male,0,No,No,1,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,No,'Mailed check',20.2,20.2,No
Female,0,Yes,Yes,1,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,No,'Electronic check',19.45,19.45,No
Male,0,No,No,38,Yes,Yes,'Fiber optic',No,No,Yes,Yes,Yes,No,'One year',No,'Bank transfer (automatic)',95,3605.6,No
Female,1,Yes,No,66,No,'No phone service',DSL,No,Yes,Yes,No,Yes,No,'One year',No,'Bank transfer (automatic)',45.55,3027.25,No
Male,0,Yes,No,68,Yes,Yes,'Fiber optic',No,Yes,Yes,Yes,Yes,Yes,'Two year',Yes,'Bank transfer (automatic)',110,7611.85,Yes
Male,0,No,No,5,No,'No phone service',DSL,No,No,No,No,No,No,Month-to-month,No,'Mailed check',24.3,100.2,No
Female,0,Yes,Yes,72,Yes,Yes,'Fiber optic',Yes,Yes,No,No,Yes,Yes,'One year',Yes,'Electronic check',104.15,7303.05,No
Female,0,No,No,32,No,'No phone service',DSL,Yes,No,No,No,No,No,'One year',No,'Mailed check',30.15,927.65,No
Male,0,No,No,43,Yes,Yes,'Fiber optic',No,No,No,No,Yes,Yes,'One year',No,'Mailed check',94.35,3921.3,No
Male,0,Yes,Yes,72,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Credit card (automatic)',19.4,1363.25,No
Male,0,Yes,No,55,Yes,Yes,'Fiber optic',Yes,Yes,No,No,Yes,No,Month-to-month,Yes,'Electronic check',96.75,5238.9,Yes
Female,0,No,No,52,Yes,No,DSL,Yes,No,Yes,Yes,No,No,'One year',No,'Credit card (automatic)',57.95,3042.25,No
Female,0,No,No,43,Yes,No,'Fiber optic',No,Yes,Yes,No,Yes,No,Month-to-month,Yes,'Electronic check',91.65,3954.1,No
Female,1,Yes,No,37,Yes,Yes,'Fiber optic',No,No,No,No,No,No,Month-to-month,Yes,'Electronic check',76.5,2868.15,Yes
Female,0,Yes,Yes,64,No,'No phone service',DSL,No,Yes,No,Yes,Yes,Yes,'Two year',Yes,'Electronic check',54.6,3423.5,No
Male,0,Yes,Yes,3,Yes,No,'Fiber optic',Yes,Yes,No,No,Yes,No,Month-to-month,No,'Electronic check',89.85,248.4,No
Female,0,No,No,36,No,'No phone service',DSL,Yes,No,No,No,No,No,'Two year',No,'Bank transfer (automatic)',31.05,1126.35,No
Female,0,Yes,Yes,10,Yes,Yes,'Fiber optic',Yes,No,No,No,Yes,Yes,Month-to-month,Yes,'Electronic check',100.25,1064.65,Yes
Female,0,No,No,41,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Mailed check',20.65,835.15,No
Male,0,Yes,Yes,27,Yes,Yes,'Fiber optic',No,Yes,No,Yes,No,No,Month-to-month,Yes,'Credit card (automatic)',85.2,2151.6,No
Female,0,Yes,Yes,56,Yes,Yes,'Fiber optic',No,No,Yes,No,Yes,Yes,'One year',Yes,'Credit card (automatic)',99.8,5515.45,No
Female,0,No,No,6,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,No,'Mailed check',20.7,112.75,No
Male,0,No,No,3,Yes,Yes,'Fiber optic',No,No,No,No,No,No,Month-to-month,Yes,'Electronic check',74.4,229.55,Yes
Female,0,Yes,Yes,7,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,'Mailed check',50.7,350.35,No
Female,0,Yes,Yes,4,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,No,'Mailed check',20.85,62.9,No
Male,0,No,No,33,Yes,No,'Fiber optic',Yes,No,No,Yes,Yes,No,'Two year',Yes,'Electronic check',88.95,3027.65,No
Female,1,No,No,27,Yes,Yes,'Fiber optic',No,No,Yes,No,No,No,Month-to-month,Yes,'Electronic check',78.05,2135.5,Yes
Male,0,Yes,No,72,Yes,Yes,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',Yes,'Bank transfer (automatic)',23.55,1723.95,No
Male,0,No,No,1,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,No,'Mailed check',19.75,19.75,No
Male,1,No,No,71,No,'No phone service',DSL,Yes,Yes,No,No,Yes,Yes,'One year',Yes,'Electronic check',56.45,3985.35,No
Female,0,No,No,13,Yes,Yes,'Fiber optic',No,No,No,No,No,Yes,Month-to-month,Yes,'Electronic check',85.95,1215.65,No
Female,0,Yes,Yes,25,No,'No phone service',DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,'Credit card (automatic)',58.6,1502.65,Yes
Male,0,No,No,67,Yes,No,DSL,No,No,No,Yes,No,No,'Two year',No,'Bank transfer (automatic)',50.55,3260.1,No
Male,0,No,No,1,No,'No phone service',DSL,No,No,No,No,No,Yes,Month-to-month,Yes,'Electronic check',35.45,35.45,Yes
Male,0,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,'Electronic check',44.35,81.25,Yes
Female,0,No,No,43,Yes,Yes,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',Yes,'Credit card (automatic)',25.7,1188.2,No
Female,0,No,No,23,Yes,No,'Fiber optic',Yes,No,No,No,No,No,Month-to-month,Yes,'Bank transfer (automatic)',75,1778.5,No
Female,0,Yes,Yes,64,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Mailed check',20.2,1277.75,No
Male,0,No,Yes,57,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',Yes,'Mailed check',19.6,1170.55,No
Female,1,Yes,No,1,Yes,No,'Fiber optic',No,No,No,No,No,No,Month-to-month,Yes,'Mailed check',70.45,70.45,Yes
Female,1,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,'Two year',Yes,'Credit card (automatic)',88.05,6425.65,No
Female,0,No,No,8,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,'Electronic check',71.15,563.65,Yes
Female,0,Yes,No,61,Yes,Yes,'Fiber optic',No,Yes,No,No,Yes,Yes,'Two year',Yes,'Bank transfer (automatic)',101.05,5971.25,No
Male,0,No,No,64,Yes,Yes,'Fiber optic',Yes,Yes,No,No,No,No,'One year',Yes,'Credit card (automatic)',84.3,5289.05,No
Male,1,Yes,No,71,Yes,Yes,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Bank transfer (automatic)',23.95,1756.2,No
Female,0,Yes,Yes,65,Yes,Yes,'Fiber optic',Yes,Yes,No,Yes,Yes,No,'Two year',Yes,'Credit card (automatic)',99.05,6416.7,No
Male,0,No,No,3,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','One year',No,'Mailed check',19.6,61.35,No
Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,'Electronic check',45.65,45.65,Yes
Male,0,No,Yes,30,Yes,No,DSL,No,Yes,Yes,No,Yes,No,'One year',No,'Credit card (automatic)',64.5,1929.95,No
Male,0,Yes,Yes,15,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,'Mailed check',69.5,1071.4,No
Female,0,Yes,Yes,8,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,'Electronic check',68.55,564.35,No
Male,0,No,No,7,Yes,Yes,'Fiber optic',No,No,No,No,Yes,Yes,Month-to-month,No,'Mailed check',95,655.5,Yes
Female,0,Yes,Yes,70,Yes,Yes,'Fiber optic',Yes,Yes,Yes,No,Yes,Yes,'One year',Yes,'Credit card (automatic)',108.15,7930.55,No
Male,0,Yes,Yes,62,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,'Two year',No,'Electronic check',86.1,5215.25,No
Female,0,Yes,Yes,6,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,No,'Mailed check',19.7,113.5,No
Female,0,Yes,Yes,14,Yes,No,'Fiber optic',No,No,No,No,No,Yes,Month-to-month,Yes,'Bank transfer (automatic)',80.9,1152.8,No
Female,0,No,No,22,Yes,Yes,'Fiber optic',No,No,No,No,Yes,No,Month-to-month,Yes,'Bank transfer (automatic)',84.15,1821.95,No
Male,0,Yes,Yes,22,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','One year',No,'Mailed check',20.15,419.9,No
Male,0,Yes,Yes,16,Yes,No,DSL,Yes,No,Yes,No,Yes,No,'Two year',No,'Mailed check',64.25,1024,No
Male,0,No,No,10,Yes,Yes,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Bank transfer (automatic)',25.7,251.6,No
Female,0,No,Yes,13,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,'Electronic check',56,764.55,No
Female,0,Yes,No,20,Yes,Yes,'Fiber optic',Yes,No,No,No,No,No,Month-to-month,No,'Electronic check',82.4,1592.35,Yes
Female,0,No,No,2,Yes,No,'Fiber optic',No,No,No,No,No,No,Month-to-month,Yes,'Electronic check',69.7,135.2,No
Male,0,No,No,53,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,'Two year',Yes,'Bank transfer (automatic)',73.9,3958.25,No
Female,0,Yes,Yes,11,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','One year',No,'Mailed check',20.6,233.9,No
Male,0,Yes,No,69,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service','Two year',No,'Mailed check',19.9,1363.45,No
Female,0,No,No,4,Yes,No,'Fiber optic',No,No,No,No,No,No,Month-to-month,Yes,'Bank transfer (automatic)',70.9,273,Yes
Male,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,'Two year',Yes,'Bank transfer (automatic)',89.05,6254.45,No
Male,1,Yes,No,58,No,'No phone service',DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,'Electronic check',45.3,2651.2,Yes
Female,0,Yes,Yes,16,Yes,No,No,'No internet service','No internet service','No internet service','No internet service','No internet service','No internet service',Month-to-month,No,'Electronic check',20.4,321.4,No
Male,0,Yes,No,43,Yes,No,'Fiber optic',Yes,No,Yes,Yes,No,No,'One year',Yes,'Bank transfer (automatic)',84.25,3539.25,No
Female,0,Yes,No,2,Yes,Yes,'Fiber optic',No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,'Electronic check',104.4,242.8,Yes
Male,0,Yes,No,14,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,'Two year',No,'Mailed check',81.95,1181.75,No
